artist,title,year,lyrics,neg_sentiment,neu_sentiment,pos_sentiment,com_sentiment
doris day,i know that you know,1950,"I Know That You Know (with Gene Nelson & The Page Cavanaugh Trio) LyricsLife's a game, but who can play it all alone
Ev'ry chap should hold a heart that's all his own
Love may come at first sight, they told me
When I saw you, I knew
That I had found my only love
When I found you

So, darling, I know that you know
That I'll go where you go
I choose you, won't lose you
I wish you knew how much I long to hold you in my arms
This time is my time
T'will soon be goodbye time
Then in the star light, hold me tight
With one more little kiss say nighty night

So, darling, I know that you know
That I'll go where you go
I choose you, won't lose you
I wish you knew how much I long to hold you in my armsEmbed",0.013,0.736,0.251,0.9939
dean martin,muskrat ramble,1950,"Muskrat Ramble LyricsLook at them shuffling shuffling down
Rambling and scrambling heading to town
Hustling and bustling buzzing around
Happily waiting at the station

Look at the train the number seven-o-nine
Huffing and puffing arriving on time
Who do you think's about to arrive
The band they call the Dixieland Five

They're gonna play that Muskrat Ramble tune
The way you never ever heard it played
Get ready for the big parade
All together now one and two come on and join the happy throng
Feel the beat of that rambling scrambling muskrat song
Come on and ramble along
Look at them shuffling shuffling down
Well look at the band parading all over town
Look at the happiness going around
Everybody's up and celebrating

Look at the drummer entertaining the gang
Clinging and clanging with a bing and a bang
Changing the town from dead to alive
The band they call the Dixieland Five

You're gonna hear them play that Dixieland
You better get your reservation plan
In person on a one night stand
All together now come on folks come on a join that happy throng
Feel the beat of that shuffling scuffling muskrat song
Come on and ramble alongEmbed",0.018,0.791,0.19,0.9881
dean martin,that certain party,1950,"That Certain Party LyricsHas she got naughty eyes
Yes she has got naughty eyes
That certain that certain party
You know the one I mean
That certain party of mine

Naughty eyes turned up nose
Rosy cheeks and pretty clothes
Not a smarty

Has she got loving ways
Sure she has got loving ways
That certain party of mine
Hey Dean, remember the old time Vaudeville around 1924?
Why sure I do
With those corny jokes like ""Can you stand on your head?""
Nah, it's too high
Nothing, we better sing

Has she got you know what
Yes she has got you know what
That certain that certain party of mine
Has she got I forgot
Yes she has got I forgot
That certain party of mine
You know what I forgot
This and that and quite a lot
Not a smarty
Has she got everything
Yes she has got everything
That certain party of mine

(babble by Jerry)
Hold on, hold on, what are you doing?
Singing in shorthand?
You're speeding
That's better

(babble about wiener schnitzel)
That certain that certain party of mine
(babble about hasenpfeffer)
That certain party of mine
You know what I forgot
This and that and quite a lot
What a smarty
Has she got everything
Yes she has got everything
That certain party
That certain party
That certain party of mineEmbed",0.025,0.623,0.352,0.9979
the chordettes,carolina moon,1951,"Carolina Moon LyricsCarolina moon keep shining
Shining on the one who waits for me
Carolina moon I'm pining
Pining for the place I long to be

How I'm hoping tonight you'll go
Go to the right window
Scatter your light, say I'm alright
Please do
Tell her that I'm blue and lonely
Dreamy Carolina moon
Keep shining on the one who waits for me
I'm pining for the place I long to be
How I'm hoping tonight you'll go
Go to the right window
Scatter your light, say I'm alright
Please do
Tell her that I'm blue and lonely
Dreamy Carolina moonEmbed",0.044,0.83,0.125,0.802
lester flatt,gone home,1951,"Gone Home LyricsAll of my friends that I loved yesterday
Gone home (they have gone home) gone home (they have )
The songbirds that sing in the dell seem to say
Gone home (they have gone home) gone home (they have )

They've joined the heavenly fold
They're walking the streets of pure gold
They left one by one as their work here was done
Gone home (they have gone home) gone home (they have)

Life here is lonely since they've gone before
Gone home (they have gone home) gone home (they have )
The old weeping willow that stands by the door
Sadly says (they have gone home) gone home (they have )
The trumpet will sound on that Great Judgment day
Gone home (they have gone home) gone home (they have )
We'll see all our friends that have gone on that way
Gone home (they have gone home) gone home (they have )Embed",0.047,0.849,0.104,0.9001
lester flatt,i still miss someone,1951,"I Still Miss Someone LyricsAt my door the leaves are falling the cold wild wind will come
Sweethearts walk by together and I still miss someone
Though I never got over those blue eyes I see them everywehere
I miss those arms that held me when all the love was there
[ harmonica ]
I wonder if she's sorry for leaving what we'd begun
There's someone for me somewhere and I still miss someone
Though I never got over...
When all the love was thereEmbed",0.095,0.765,0.141,0.8591
lester flatt,he took your place,1951,"He Took Your Place LyricsUpon the rugged cross of Calvary
Was there my blessed Savior cried
Forgive them for they know not what they do
Oh, sinner friend, for thee he died

His hands are gently knocking on your door
Outside he's pleading to come in
His heart is breaking as he waits for you
To wash you free from every sin

Someday he's coming back to claim his own
We'll fly to Heaven's golden shore
A crown of life he gives on that glad day
With him we'll live forever more
Those cruel thorns they pierced my Savior's head
The blood was flowing down his face
In shame, forsaken there he hung and died
Oh, sinner friend, he took you placeEmbed",0.133,0.699,0.168,0.651
lefty frizzell,forever (and always),1951,"Forever (And Always) LyricsForever and always, my love will be true
I'd wait for a lifetime if you asked me to
You make me so happy, then leave me so blue
But I'd wait forever and always for you

Each night I pray that God above will let my dreams come true
To hear my prayer and make you care, my life I'd offer you
For riches won't buy you a heart true as gold
Forever and always, to have and to hold

Each night I pray that God above will let my dreams come true
To hear my prayer and make you care, my life I'd offer you
For riches won't buy you a heart true as gold
Forever and always, to have and to holdEmbed",0.007,0.601,0.392,0.9971
johnny cash,the little drummer boy,1951,"The Little Drummer Boy Lyrics[Verse]
Come, they told me
Our newborn King to see
Our finest gifts we bring
To lay before the King

This is to honor Him
When we come
Baby Jesus, I am a poor boy too
I have no gift to bring
That's fit to give a King
But may I play for You
On my drum?
The Mother Mary nodded
The Ox and Lamb kept time
I played my drum for Him
I played my best for Him

[Outro]
Then He smiled at me
Me and my drumEmbed",0.034,0.754,0.213,0.968
lester flatt,wait for the sunshine,1951,"Wait for the Sunshine LyricsWait for the sunshine wait for the sunshine wait for the clouds to roll away
Maybe tomorrow gone will be sorrow wait for the sunshine to bring a brighter day
[ dobro ]
If sorrow and trouble you're seeing double black clouds surround you all the time
Well don't let misfortune be too discouraging remember tomorrow the sun will shine
Wait for the sunshine...
[ harmonica ]
If it seems forever since there's been laughter don't let old misery get you down
Just keep your chin up don't ever give up tomorrow the sunshine may come around
Wait for the sunshine...Embed",0.092,0.671,0.236,0.9538
